Time,Open,High,Low,Close,Volume
2023-05-18 21:30:00,1815.19,1819.77,1814.5,1817.69,38271.807
2023-05-18 21:45:00,1817.69,1818.96,1816.42,1817.5,20168.127
2023-05-18 22:00:00,1817.5,1820.97,1812.48,1816.66,49452.559
2023-05-18 22:15:00,1816.67,1820.7,1815.31,1819.19,25775.639
2023-05-18 22:30:00,1819.19,1823.74,1812.01,1812.6,61107.972
2023-05-18 22:45:00,1812.61,1816.73,1803.16,1816.26,112955.428
2023-05-18 23:00:00,1816.26,1820.36,1813.51,1814.39,45256.163
2023-05-18 23:15:00,1814.39,1815.89,1806.35,1808.36,56800.554
2023-05-18 23:30:00,1808.36,1810.99,1807.0,1809.36,42740.405
2023-05-18 23:45:00,1809.36,1812.22,1805.39,1807.26,41385.862
2023-05-19 00:00:00,1807.25,1809.61,1806.01,1807.74,37944.537
2023-05-19 00:15:00,1807.74,1810.42,1806.08,1807.59,36177.55
2023-05-19 00:30:00,1807.58,1812.23,1805.86,1811.91,35120.231
2023-05-19 00:45:00,1811.91,1812.23,1807.87,1808.84,17449.577
2023-05-19 01:00:00,1808.85,1810.63,1808.15,1809.92,12012.159
2023-05-19 01:15:00,1809.93,1810.35,1806.84,1808.3,26657.47
2023-05-19 01:30:00,1808.3,1808.31,1790.2,1794.68,169996.794
2023-05-19 01:45:00,1794.69,1794.74,1770.0,1777.33,260824.834
2023-05-19 02:00:00,1777.33,1782.59,1772.0,1778.42,114777.657
2023-05-19 02:15:00,1778.42,1783.99,1775.0,1781.62,57947.173
2023-05-19 02:30:00,1781.61,1788.92,1779.82,1783.55,50204.612
2023-05-19 02:45:00,1783.54,1785.91,1782.04,1784.55,20322.956
2023-05-19 03:00:00,1784.54,1788.09,1782.03,1786.81,28843.93
2023-05-19 03:15:00,1786.81,1788.64,1785.46,1787.88,17169.69
2023-05-19 03:30:00,1787.89,1798.46,1787.87,1798.2,72375.601
2023-05-19 03:45:00,1798.19,1800.79,1793.8,1794.37,58208.227
2023-05-19 04:00:00,1794.36,1798.08,1792.45,1794.22,34995.503
2023-05-19 04:15:00,1794.22,1795.85,1793.52,1795.21,11636.563
2023-05-19 04:30:00,1795.21,1799.57,1795.08,1797.41,22205.338
2023-05-19 04:45:00,1797.41,1797.72,1795.6,1795.71,10418.333
2023-05-19 05:00:00,1795.71,1797.93,1795.7,1797.81,9908.833
2023-05-19 05:15:00,1797.81,1803.66,1797.18,1801.02,36833.589
2023-05-19 05:30:00,1801.02,1821.51,1800.61,1816.31,120761.66
2023-05-19 05:45:00,1816.32,1817.64,1812.89,1813.89,31074.033
2023-05-19 06:00:00,1813.9,1815.19,1810.29,1812.94,36504.297
2023-05-19 06:15:00,1812.95,1812.95,1807.28,1808.89,27599.688
2023-05-19 06:30:00,1808.89,1810.0,1806.81,1807.55,14362.013
2023-05-19 06:45:00,1807.55,1809.68,1807.54,1807.94,10562.551
2023-05-19 07:00:00,1807.93,1807.93,1805.25,1806.01,16594.797
2023-05-19 07:15:00,1806.0,1806.93,1803.53,1803.86,16702.485
2023-05-19 07:30:00,1803.85,1804.54,1801.7,1803.25,21663.504
2023-05-19 07:45:00,1803.25,1804.79,1798.11,1799.69,36961.001
2023-05-19 08:00:00,1799.69,1801.06,1797.32,1800.79,33369.66
2023-05-19 08:15:00,1800.79,1802.99,1800.78,1801.02,23494.694
2023-05-19 08:30:00,1801.02,1806.65,1800.45,1801.66,26275.224
2023-05-19 08:45:00,1801.67,1804.4,1798.54,1803.33,18270.045
2023-05-19 09:00:00,1803.33,1806.47,1802.76,1803.32,15391.13
2023-05-19 09:15:00,1803.32,1803.61,1798.78,1801.21,19869.447
2023-05-19 09:30:00,1801.21,1802.11,1797.49,1797.99,18826.535
2023-05-19 09:45:00,1798.0,1799.12,1795.72,1798.45,18572.323
2023-05-19 10:00:00,1798.44,1801.43,1797.6,1799.3,13408.802
2023-05-19 10:15:00,1799.3,1800.93,1798.4,1800.06,8088.891
2023-05-19 10:30:00,1800.06,1801.01,1796.75,1797.52,13745.859
2023-05-19 10:45:00,1797.53,1799.59,1796.3,1799.48,9656.691
2023-05-19 11:00:00,1799.48,1800.0,1796.86,1798.77,12026.343
2023-05-19 11:15:00,1798.77,1802.63,1798.77,1802.56,14856.931
2023-05-19 11:30:00,1802.56,1802.92,1800.94,1801.49,8701.004
2023-05-19 11:45:00,1801.49,1801.7,1799.89,1800.75,10051.822
2023-05-19 12:00:00,1800.76,1801.27,1799.01,1799.05,8625.45
2023-05-19 12:15:00,1799.04,1799.9,1798.03,1799.05,11012.285
2023-05-19 12:30:00,1799.04,1801.62,1798.5,1801.47,7832.43
2023-05-19 12:45:00,1801.47,1803.96,1801.0,1803.85,11968.537
2023-05-19 13:00:00,1803.85,1805.96,1802.04,1802.41,25467.438
2023-05-19 13:15:00,1802.41,1804.27,1802.36,1803.29,6010.94
2023-05-19 13:30:00,1803.3,1805.64,1803.02,1805.1,9946.526
2023-05-19 13:45:00,1805.1,1805.99,1803.74,1804.48,10787.09
2023-05-19 14:00:00,1804.49,1807.36,1803.43,1806.01,19026.749
2023-05-19 14:15:00,1806.01,1808.45,1804.21,1805.16,18896.854
2023-05-19 14:30:00,1805.17,1806.82,1802.5,1804.02,24967.135
2023-05-19 14:45:00,1804.03,1807.49,1804.02,1806.42,16209.125
2023-05-19 15:00:00,1806.42,1809.87,1804.79,1808.79,20384.815
2023-05-19 15:15:00,1808.79,1809.72,1806.28,1806.8,15468.816
2023-05-19 15:30:00,1806.8,1807.94,1805.0,1805.92,14238.736
2023-05-19 15:45:00,1805.93,1806.13,1804.34,1804.53,10813.235
2023-05-19 16:00:00,1804.54,1806.67,1804.1,1806.46,10265.21
2023-05-19 16:15:00,1806.46,1808.21,1806.29,1806.71,6985.94
2023-05-19 16:30:00,1806.71,1809.58,1806.7,1808.28,13817.873
2023-05-19 16:45:00,1808.28,1809.26,1806.65,1807.6,13400.726
2023-05-19 17:00:00,1807.6,1810.98,1807.51,1807.97,17967.422
2023-05-19 17:15:00,1807.98,1809.31,1805.62,1807.08,16493.912
2023-05-19 17:30:00,1807.08,1807.64,1805.82,1806.13,9986.084
2023-05-19 17:45:00,1806.13,1807.75,1806.0,1806.78,7133.847
2023-05-19 18:00:00,1806.78,1809.37,1806.77,1807.71,19102.288
2023-05-19 18:15:00,1807.71,1811.55,1806.37,1808.77,22311.523
2023-05-19 18:30:00,1808.77,1809.49,1807.25,1807.64,10825.728
2023-05-19 18:45:00,1807.64,1808.18,1805.1,1806.18,18097.126
2023-05-19 19:00:00,1806.18,1808.91,1804.34,1804.65,29800.522
2023-05-19 19:15:00,1804.65,1807.91,1804.64,1806.94,15958.655
2023-05-19 19:30:00,1806.93,1807.89,1805.53,1805.94,7007.817
2023-05-19 19:45:00,1805.94,1808.0,1805.45,1806.73,10319.324
2023-05-19 20:00:00,1806.73,1816.29,1806.73,1814.43,61818.935
2023-05-19 20:15:00,1814.42,1818.47,1812.19,1813.6,44357.84
2023-05-19 20:30:00,1813.6,1815.94,1813.02,1814.32,30822.119
2023-05-19 20:45:00,1814.31,1815.44,1812.0,1814.0,20762.429
2023-05-19 21:00:00,1814.0,1815.67,1814.0,1814.4,14028.955
2023-05-19 21:15:00,1814.4,1818.54,1813.13,1816.25,34118.528
2023-05-19 21:30:00,1816.24,1817.8,1812.01,1815.47,37388.941
2023-05-19 21:45:00,1815.47,1815.92,1811.77,1814.02,30612.714
2023-05-19 22:00:00,1814.02,1814.67,1807.1,1807.83,61348.477
2023-05-19 22:15:00,1807.83,1811.78,1807.37,1809.18,21796.056
2023-05-19 22:30:00,1809.19,1811.43,1807.0,1807.68,21037.958
2023-05-19 22:45:00,1807.67,1810.58,1806.1,1810.47,23911.153
2023-05-19 23:00:00,1810.47,1815.19,1803.32,1813.09,69210.481
2023-05-19 23:15:00,1813.08,1830.0,1808.47,1810.45,248079.804
2023-05-19 23:30:00,1810.46,1818.25,1798.63,1817.18,184062.286
2023-05-19 23:45:00,1817.18,1820.0,1811.84,1814.64,74947.553
2023-05-20 00:00:00,1814.64,1818.32,1812.69,1814.92,35263.953
2023-05-20 00:15:00,1814.93,1817.22,1814.65,1814.74,15970.936
2023-05-20 00:30:00,1814.74,1814.78,1810.51,1814.61,31096.646
2023-05-20 00:45:00,1814.6,1815.0,1811.4,1811.4,12270.241
2023-05-20 01:00:00,1811.41,1814.88,1809.23,1813.65,20685.574
2023-05-20 01:15:00,1813.64,1816.96,1813.0,1816.4,18279.757
2023-05-20 01:30:00,1816.41,1817.24,1815.38,1816.75,11239.802
2023-05-20 01:45:00,1816.75,1822.42,1816.15,1818.3,37893.139
2023-05-20 02:00:00,1818.3,1822.05,1817.64,1818.74,22400.043
2023-05-20 02:15:00,1818.74,1818.77,1815.09,1815.96,18395.644
2023-05-20 02:30:00,1815.96,1817.04,1815.0,1816.49,11799.438
2023-05-20 02:45:00,1816.48,1817.04,1815.56,1816.42,8215.22
